NCT Number,Study Title,Study URL,Brief Summary
NCT06625216,Severe Asthma Network Italy,https://clinicaltrials.gov/study/NCT06625216,"The goal of this registry is collecting data of severe asthma patients, recruited by specialized centers, in a real life setting, homogeneously placed on a database management system to follow them over the time.

The information recorded will provide:

1. The collection of homogeneous clinical, functional and biologic data of patients with severe asthma in a real life setting.
2. The evaluation of adherence to treatment in real life.
3. The clinical eligibility of patients treated with biologics.
4. The evaluation of patients' clinical response to each treatment.
5. The monitoring of tolerability and safety.
6. The long-term follow up of patients with severe asthma."
NCT06625203,"A Non-interventional, International, Multicentre Clinical Research Study to Build the Largest Collection of Multimodal Data (Including Clinical Data, Imaging Data and Omics Data) in Oncology",https://clinicaltrials.gov/study/NCT06625203,"Cancer is amongst the leading causes of disease-related morbidity and mortality. A major challenge in cancer treatment is the development of biology-informed, personalised treatment strategies. Recent advances in artificial intelligence (AI) and next-generation sequencing (NGS) technologies have shed further insights into disease biology and treatment pathways, thus identifying new, precision medicine-based therapeutic opportunities.

The biological mechanisms leading to cancer development and progression arise from complex and plastic networks of dysregulated cellular programs involving many signalling pathways and effector molecules. Cancer cells alter their surrounding environment via cell-cell interactions with non-tumor cells or by secreting cytokines, chemokines and other factors. This reprogramming of the tumour microenvironment (TME) is critical for cancer progression, invasion, and metastasis. Moreover, there are increasing studies that show that both innate and adaptive immune cell types contribute to tumorigenesis and treatment resistance when present within the TME. Understanding the crosstalk between cancer cells and the surrounding TME will inform on mechanisms of sensitivity and resistance to treatment, including immunotherapy (IO) and targeted therapies.

Spatially resolved-Omics is an emerging field that characterises cell types by gene/protein expressions within their spatial context in the tissue organisation. Recent high profile spatial transcriptomics studies have uncovered specific cell identities that define the surrounding TME.

The MOSAIC study, a collaborative initiative across industry and top oncology hospitals, proposes to go way beyond current cancer molecular profiling projects by combining the generation and analysis of multiple data modalities (3 essential mandatory modalities: Clinical Data, Hematoxylin and Eosin (H\&E) microscopic image, Spatial transcriptomics; up to 3 high priority data modalities depending on technical feasibility and sample size: bulk Ribonucleic Acid Sequencing (RNAseq), bulk Whole Exome Sequencing (WES), Single-cell transcriptomics; and potentially other optional data modalities and follow-up experiments such as single-cell omics, immunohistochemistry and spatial proteomics or other molecular profiling of proteins and molecules) on a minimum of 2,000 tumour samples across a different cancer indications. This will generate broad molecular and cellular profiling data of the tumour and its microenvironment from cancer patients, integrated with clinical data, at an unprecedented scale and resolution.

This study will enroll patients diagnosed with one of the eligible cancer indications and for which a formalin fixed paraffin embedded (FFPE) tumor sample from already performed biopsy and/or surgical resection is available within their local pathology archive or their affiliate centers archives.

The MOSAIC study expects to have a strong impact for patients in terms of new targeted therapeutic drug discovery, identification of patient subgroups requiring either specific treatment or broader clinical care and identification of novel treatment response and resistance mechanisms."
NCT06625099,Investigation of the Optimum PEEP Mechanical Power Relationship,https://clinicaltrials.gov/study/NCT06625099,The aim of this study is to compare the effects of standard and optimum positive end expiratory pressures on mechanical power during laparoscopic surgeries.
NCT06624917,"Assessment of Oncological Safety, Quality of Life, and Environmental Impact of the Green Breast Surgery Protocol",https://clinicaltrials.gov/study/NCT06624917,"Breast Cancer (BC) is the primary oncological diagnosis in women, with the annual incidence expected to exceed 3 million new cases by 2040 due to population growth and aging. During the COVID-19 pandemic, novel methods were adopted worldwide to provide continuous patient care, including telehealth, fast-track protocols such as awake surgery in breast cancer.

These innovative techniques allowed for improved access to care, and additionally reduced emissions with environmental impact, better resource utilization, and improved continuity of care, but their impact post-pandemic era has not been investigated.

A current issue is the environmental impact of hospitals, particularly operating rooms, as it has been analysed that 25-30% of hospital waste comes from these areas.

A Breast Green Surgery protocol (BuGS protocol) has been designed to reduce Breast Surgery Impact of care, evaluating for the synergistic effect of different procedure for the first time on classic Clincal Outcome, Patients' Reported Outcome Measure (PROM), and Environment Related Outcome Measure (EROM) in breast cancer surgery.

Main hypothesis is that BuGs protocol will provide a significant reduction in carbon footprint of care (EROM) without impacting clinical outcome and PROMs."
NCT06624904,Losartan and Social Processing,https://clinicaltrials.gov/study/NCT06624904,This study explores the effects of single-dose losartan (50mg) versus placebo on social processing in healthy volunteers.
NCT06624826,Visual Performance of an Extended Depth of Focus IOL in an Emmetropic or Monovision Modality,https://clinicaltrials.gov/study/NCT06624826,Comparison of the visual performance of a refractive extended depth of focus intraocular lens in an emmetropic or monovision modality
NCT06624813,Partial Prostatectomy for Prostate Cancer,https://clinicaltrials.gov/study/NCT06624813,"A phase 2 study investigation of safety and feasibility of partial prostatectomy for localized prostate cancer of intermediate risk at ICESP. It will be included 50 patients that have coincident findings of prostate cancer site on prostate biopsy and a suspicious area in the magnetic resonance imaging of the prostate (PIRADS 3, 4 or 5)."
NCT06624735,Behavioral Changes Among Asthmatic Children in Sohag Universty Hospital,https://clinicaltrials.gov/study/NCT06624735,"Asthma is considered the most common chronic childhood disease and mainly affects children resident in urban areas. Asthma has been designated a serious public health problem due to the increase in its prevalence over the last two decades and the associated high health service costs in admissions and hospitalizations The cause of asthma is not yet completely understood, and there is no consensus about its etiology. A vast body of research emphasizes the role of genetic and environmental factors in the appearance of asthma, and a great deal of interest has recently emerged concerning the relationship between psychosocial factors and asthma morbidity Behavioural problems in children are generally described as ""internalizing"", which includes ""anxiety, depressive, and somatic symptoms"" or ""externalizing"", which includes ""oppositional, hyperactive conduct"". Both internalizing and externalizing problems can be experienced by healthy children with abnormal and ""borderline"" personality disorder, the latter referring to a mental illness marked by an ongoing pattern of varying moods, self-image, and behaviour"
NCT06624618,Rapid Molecular Diagnosis of Sepsis in the Intensive Care Unit,https://clinicaltrials.gov/study/NCT06624618,"Rapid diagnosis of sepsis is crucial for treatment and survival. Currently, blood culture takes 48 hours-5 days to complete. After starting antimicrobial treatment blood culture results are not reliable. As a result, empirical broad spectrum antimicrobial therapy is mostly used. This implies possible antimicrobial over- or under treatment which is associated with increased antimicrobial resistance development. Early identification of the causative pathogen of sepsis will therefore have a major impact on the adequate treatment and reduction of high mortality rates. To date, there is not a single molecular diagnostic test available on the market to detect all putative causative bacterial pathogens of sepsis. In this study, the investigators will develop and validate a completely new molecular sepsis approach based on pathogen DNA detection, as an alternative to culture."
NCT06624527,Cognitive Behavior Therapy for Children With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT06624527,"The aim of this study was planned to determine the changes that cognitive behavior therapy-based psycho-education against the negativities brought by the disease in the long term of children diagnosed with Attention Deficit Hyperactivity Disorder will create changes in the child's quality of life, anxiety and depression status and disease symptoms.

As a result of this study, if cognitive behavior-based psycho-education has a positive effect on anxiety, depression and quality of life of children with Attention Deficit Hyperactivity Disorder, it is thought to contribute positively to the development of the disease for the sick child and parents by organizing psycho-education programs with the training to be given to child health nurses."
NCT06624488,The Relationship Between Brain Injury Biomarkers in Cerebrospinal Fluid and Blood of Patients After Cardiac Arrest and Prognosis.,https://clinicaltrials.gov/study/NCT06624488,"This study is a single-center, prospective, observational study. After successful cardiopulmonary resuscitation for patients with cardiac arrest, they will be transferred to the emergency intensive care unit for further standardized targeted temperature management. When evaluating that the patient meets the indications for lumbar puncture and there are no contraindications for lumbar puncture, lumbar puncture examinations will be completed immediately after return of spontaneous circulation (ROSC), at 24 hours of hypothermia, at 72 hours of hypothermia, and after rewarming. Routine cerebrospinal fluid examinations such as cerebrospinal fluid routine, cerebrospinal fluid biochemistry, and cerebrospinal fluid lactate will be sent for inspection. At the same time, 6 ml of cerebrospinal fluid will be retained and stored in a refrigerator at -80°C. After sample collection is completed, enzyme-linked immunosorbent assay (ELISA) will be used to detect markers such as NSE, HCH-L1, NFL, tau, MBP, GFAP, and S100β. While performing the lumbar puncture examination, peripheral blood will be collected. After centrifugation for 10 minutes (4000 revolutions), serum will be retained and stored in a refrigerator at -80°C to complete the examination of the above markers. After 3 months, the patient\&#39;s neurological function prognosis will be followed up according to the Pittsburgh Cerebral Performance Category (CPC) scale."
NCT06624462,"Effectiveness of a Pragmatic, Metabolic Care Clinic for Patients With Severe Mental Illness - The Meta Care Clinic",https://clinicaltrials.gov/study/NCT06624462,"This study will examine the effectiveness of a Pragmatic, Metabolic Care Clinic for Patients With Severe Mental Illness"
NCT06624397,Evaluation of a New Program for Carers of People with Anorexia Nervosa,https://clinicaltrials.gov/study/NCT06624397,"CAREFREE is a 12-session Carer's Programme for carers of adults with moderate to severe Anorexia Nervosa. This programme was developed to provide carers with an opportunity to develop an understanding of Anorexia from a Biopsychosocial framework, taking into account the complex array of biological, psychological and social/environmental factors associated with the development and maintenance of this disorder. The CAREFREE programme is unique in its focus on providing a framework for understanding AN from a Schema -Compassion Focused framework, incorporating psychoeducation in regard to both Anorexia Nervosa and Carer Burnout. The programme has a relational focus, with an emphasis on improving emotional fluency, family communication skills and self-other compassion. The CAREFREE programme is open to carers from across Scotland and runs online. Outcomes (including carer and patient quality of life, family communication, patient motivation to change) will be analysed and published at the end of the 24-month period. One of the key benefits of this programme is that as it is a cross-regional-NHS project."
NCT06624371,Atovaquone Combined with Radiation in Children with Malignant Brain Tumors,https://clinicaltrials.gov/study/NCT06624371,"The goal of this interventional study is to Assess the safety and tolerability of atovaquone in combination with standard radiation therapy (RT) for the treatment of pediatric patients with newly diagnosed pediatric high-grade glioma/diffuse midline glioma/diffuse intrinsic pontine glioma (pHGG/DMG/DIPG).

The secondary aim is to assess the safety and tolerability of longer-term atovaquone treatment for pediatric patients with relapsed or progressed pHGG/DMG/DIPG and medulloblastoma (MB) or pHGG/DMG/DIPG after completion of RT and before progression."
NCT06624293,Access BNP Clinical Enrollment Study,https://clinicaltrials.gov/study/NCT06624293,The goal of this study is to collect blood from subjects with a suspicion of either new onset or worsened heart failure to be used for testing studies for a new product to aid in the diagnosis of heart failure.
NCT06624241,Effectiveness of SRP+ Lipo-curcumin Gel for the Treatment of Stage III Periodontitis.,https://clinicaltrials.gov/study/NCT06624241,"The aim of the present study is to clinically and radiographically compare the effectivness of Scaling and Root Plannig (SRP) in association with lipo-curcumin gel (LC) respect SRP+ lipo-gel (L), SRP+ discharged (D) gel and SRP alone.

This study will be designed as a randomized clinical trial of 12-month duration. A total of 40 patients will be recruited and randomly equally distributed into 4 groups: an experimental group treated with SRP + LC, a first control group treated with SRP + L, a second control group treated with SRP+D and a third control group SRP alone.

Each defect will be treated with an ultrasonic scaler with dedicated thin tips for supra- and subgingival debridement associated with hand instrumentation under local anesthesia. Caution will be taken to preserve the stability of soft tissues. Following SRP, experimental and control sites will be randomly chosen. The test sites will be t filled with a Lipo-Curcumin gel and sealed with cyanoacrylate. In the first control group the defects will be be filled with a Lipo gel and sealed with cyanoacrylate. In the second control sites he pocket defect will be filled with a discharged gel and sealed with cyanoacrylate, in the third control group SRP alone will be performed.

Pre- and post-treatment clinical measurements were performed by an examiner blinded to the treatment modalities using a graded periodontal probe (HuFriedy UNC 15). Before the treatment and at 6 and 12 months post-treatment, all patients were examined by measuring the clinical attachment level, probing depth, gingival recession, full-mouth plaque score and bleeding on probing."
NCT06624176,ShotBlocker During Intramuscular Injection Randomized Control Trial,https://clinicaltrials.gov/study/NCT06624176,"The objective of this trial is to evaluate the effect of Bionix ShotBlocker on pain of injection of the first Hepatitis B vaccine in healthy newborns. ShotBlocker is a pain reducing tool used in babies, children, and adults for injections. Swaddling during the injection and administration of oral sucrose prior to the injection are established standards of care for painful procedures in neonates. The investigators hypothesize that the use of ShotBlocker in addition to swaddling and oral sucrose administration will lessen the pain response."
NCT06624163,Evaluation of Patient Coach Support for Older Adults With Obesity,https://clinicaltrials.gov/study/NCT06624163,"The purpose of the present pilot is to evaluate the outcomes of adding a patient coach to support the Optimal Health Weight and Lifestyle (OHWL) Clinic plan developed by PI Dewar, specifically to address barriers and facilitators of adherence to the plan. This will be accomplished via a coach who is not embedded in clinic care and is supported by pilot research funds. Evaluation of the coach activities, conducted by research personnel, will include compiling data from the electronic health record, a short set of patient report and performance measures, and qualitative interviews."
NCT06624150,tDCS and Cognitive Training for Restrictive Eating Disorders,https://clinicaltrials.gov/study/NCT06624150,"This study looks at adults with restrictive eating disorders who are currently receiving outpatient treatment for their eating disorder to examine whether a new brain stimulation technique called non-invasive transcranial direct current stimulation (tDCS) can enhance brain training. Participation involves interviews, assessments, 10 sessions of brain stimulation (active or sham), and computerized brain training over a 3-4 week period, with one post-intervention visit, and one 1-month follow-up visit."
